                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.73029,                 1.3568,                0.44635,                0.92756,                0.97439,                 0.9636,                0.98047,                0.88829,                0.95168,                0.91408,                0.92752,                0.71517,                0.41614,                0.78439,                0.29515,                0.82114,              0.0099208,              0.0099208,              0.0099208
                     26,                0.72153,                 1.3515,                0.43865,                0.92428,                0.99021,                0.95718,                0.97889,                  0.889,                0.96148,                0.92913,                0.93578,                0.71347,                0.40908,                0.78712,                0.28771,                0.81691,              0.0099175,              0.0099175,              0.0099175
                     27,                0.71063,                 1.3276,                  0.434,                0.92159,                0.98301,                0.95653,                0.98104,                0.89003,                0.96031,                0.92249,                0.93888,                0.71739,                0.41975,                0.72888,                 0.2866,                0.82018,              0.0099142,              0.0099142,              0.0099142
                     28,                0.71225,                  1.335,                0.43003,                0.92238,                0.98146,                0.95828,                0.98038,                 0.8936,                0.95232,                0.92578,                0.94195,                0.71691,                0.41676,                0.78285,                0.28668,                0.82301,              0.0099109,              0.0099109,              0.0099109
                     29,                0.70765,                 1.3199,                0.42773,                0.92048,                0.97828,                 0.9652,                0.97973,                0.89276,                0.96044,                0.93031,                 0.9479,                0.72606,                0.40621,                 0.8251,                 0.2733,                0.81306,              0.0099076,              0.0099076,              0.0099076
                     30,                0.69658,                 1.2927,                0.42301,                0.91641,                0.98321,                0.96193,                0.98135,                0.89644,                0.96086,                0.93401,                0.94584,                0.72388,                0.40006,                0.76376,                0.26367,                0.81555,              0.0099043,              0.0099043,              0.0099043
                     31,                0.69606,                 1.3058,                0.42407,                0.91237,                0.98637,                0.95186,                0.98235,                0.89622,                0.96421,                0.92824,                0.94886,                0.71328,                0.39648,                0.78134,                0.26947,                0.81554,               0.009901,               0.009901,               0.009901
                     32,                0.69263,                 1.2876,                0.42348,                0.91366,                0.98446,                0.96679,                0.98687,                0.89809,                0.94983,                 0.9368,                0.94287,                0.72062,                0.40425,                0.74389,                0.25979,                0.81748,              0.0098977,              0.0098977,              0.0098977
                     33,                0.68429,                 1.2775,                0.41542,                 0.9133,                0.97685,                0.96783,                0.98399,                0.89044,                0.95464,                0.92641,                0.94039,                0.72405,                0.41399,                0.79422,                0.27012,                0.82112,              0.0098944,              0.0098944,              0.0098944
                     34,                0.68516,                  1.283,                0.41392,                0.91131,                 0.9824,                0.96703,                0.98272,                0.89624,                0.95541,                0.92892,                0.93732,                0.72136,                0.39636,                0.77256,                0.26152,                0.81593,              0.0098911,              0.0098911,              0.0098911
                     35,                0.68424,                 1.2573,                0.41106,                0.90997,                0.97941,                0.97107,                0.98182,                0.90036,                0.96332,                0.93412,                0.94656,                0.72721,                0.39285,                0.75857,                0.26346,                 0.8153,              0.0098878,              0.0098878,              0.0098878
                     36,                0.67734,                 1.2748,                0.41111,                0.90684,                0.98132,                 0.9639,                0.98076,                0.87021,                0.94575,                0.92092,                0.93204,                0.69572,                0.46424,                0.96447,                0.28022,                0.82996,              0.0098845,              0.0098845,              0.0098845
                     37,                0.67213,                 1.2592,                0.40476,                0.90582,                0.98558,                0.96551,                0.98604,                0.90053,                0.95518,                0.93467,                0.94271,                0.71889,                0.38789,                0.76393,                0.25686,                0.81466,              0.0098812,              0.0098812,              0.0098812
                     38,                0.66797,                  1.248,                0.40044,                0.90262,                0.97886,                0.96526,                0.98447,                0.89838,                0.96144,                0.93228,                0.95202,                0.72761,                0.40751,                0.81049,                0.26238,                 0.8183,              0.0098779,              0.0098779,              0.0098779
                     39,                0.65982,                 1.2179,                0.39391,                0.89971,                0.98098,                0.96944,                0.98518,                0.89856,                0.95288,                 0.9329,                0.94727,                0.72868,                0.40204,                0.81574,                0.26218,                0.81584,              0.0098746,              0.0098746,              0.0098746
                     40,                0.66187,                 1.2379,                0.40171,                0.90372,                0.98671,                0.96556,                0.98451,                0.90268,                0.95534,                0.93876,                0.94932,                0.72441,                0.37852,                0.74583,                0.25162,                0.81124,              0.0098713,              0.0098713,              0.0098713
                     41,                0.65643,                 1.2066,                0.39121,                0.89883,                0.97215,                0.97525,                 0.9871,                0.90753,                0.95919,                0.93017,                  0.946,                0.73797,                0.37837,                0.75207,                0.24484,                   0.81,               0.009868,               0.009868,               0.009868
                     42,                0.65643,                 1.2259,                0.39297,                0.89994,                  0.988,                0.96862,                0.98677,                0.90864,                0.95729,                0.93921,                0.95066,                0.73208,                0.37199,                0.72676,                0.24573,                 0.8097,              0.0098647,              0.0098647,              0.0098647
                     43,                0.65381,                 1.2217,                0.38826,                0.90089,                0.98703,                0.96878,                0.98867,                0.90888,                0.95129,                0.93403,                0.94159,                0.72546,                0.38461,                0.73746,                0.24023,                0.81543,              0.0098614,              0.0098614,              0.0098614
                     44,                0.64835,                 1.2082,                 0.3856,                0.90166,                0.99045,                0.96083,                0.98572,                0.91115,                0.95892,                0.93109,                0.94568,                0.73163,                 0.3695,                0.74428,                0.23969,                0.81185,              0.0098581,              0.0098581,              0.0098581
                     45,                0.65152,                 1.2183,                0.38614,                0.89818,                0.98468,                0.97407,                0.98796,                0.91117,                0.94835,                0.93672,                 0.9418,                0.72783,                0.37187,                0.74174,                0.23574,                0.80685,              0.0098548,              0.0098548,              0.0098548
                     46,                0.65409,                 1.2212,                0.39058,                0.90249,                0.98983,                0.96596,                0.98728,                0.91203,                0.95917,                0.93953,                0.95266,                0.73051,                0.36635,                0.74054,                0.24018,                0.80593,              0.0098515,              0.0098515,              0.0098515
                     47,                 0.6443,                 1.1839,                0.38507,                0.89586,                0.98589,                0.96641,                0.98746,                0.88794,                 0.9498,                0.93005,                0.94516,                0.70528,                0.43955,                0.87973,                   0.26,                0.82333,              0.0098482,              0.0098482,              0.0098482
                     48,                0.64546,                 1.2053,                0.38372,                0.89933,                0.98421,                0.96598,                0.98457,                0.88757,                0.95124,                0.93005,                0.94153,                 0.7098,                0.43927,                0.89837,                0.25944,                0.82592,              0.0098449,              0.0098449,              0.0098449
                     49,                0.63507,                 1.1873,                0.37503,                0.89551,                0.98415,                0.97685,                0.98899,                0.91639,                0.95715,                0.94272,                0.94747,                0.73389,                0.35993,                0.71855,                0.23193,                0.80477,              0.0098416,              0.0098416,              0.0098416
                     50,                0.62731,                 1.1543,                0.37563,                0.89113,                0.98642,                0.97316,                0.98824,                0.91474,                0.95516,                 0.9422,                  0.945,                0.73615,                0.36087,                 0.7204,                0.22838,                0.80482,              0.0098383,              0.0098383,              0.0098383
                     51,                0.63687,                 1.1919,                0.38102,                0.89305,                0.98661,                0.97639,                0.98816,                0.91415,                 0.9585,                0.94054,                0.95015,                0.73708,                0.35563,                0.71073,                0.22434,                0.80387,               0.009835,               0.009835,               0.009835
                     52,                0.63384,                 1.1755,                0.38075,                0.89495,                0.97873,                0.97454,                0.98564,                0.91196,                0.96496,                0.93701,                0.94926,                0.73656,                0.36182,                0.72493,                0.22864,                0.80492,              0.0098317,              0.0098317,              0.0098317
                     53,                0.63738,                 1.1793,                0.37761,                0.89007,                0.98771,                0.97035,                0.98726,                0.91152,                0.95818,                0.94839,                0.95427,                0.74432,                0.36789,                0.71596,                0.22906,                 0.8068,              0.0098284,              0.0098284,              0.0098284
                     54,                0.62945,                 1.1571,                0.37493,                0.88961,                0.98311,                0.97589,                0.98875,                0.91607,                0.96506,                0.93394,                0.94793,                 0.7361,                0.36023,                0.72268,                0.22652,                0.80625,              0.0098251,              0.0098251,              0.0098251
                     55,                0.62596,                 1.1671,                0.37495,                0.88784,                0.98642,                0.97361,                0.98733,                0.91824,                0.95895,                 0.9428,                0.95022,                0.73752,                0.35276,                 0.6884,                0.22609,                 0.8025,              0.0098218,              0.0098218,              0.0098218
                     56,                0.62001,                 1.1611,                0.37447,                0.88795,                0.99065,                0.97079,                0.98848,                0.91898,                0.96101,                0.93765,                0.94925,                0.74053,                0.34849,                0.70771,                0.22038,                0.80033,              0.0098185,              0.0098185,              0.0098185
                     57,                0.62224,                 1.1669,                0.37434,                0.88899,                0.98605,                0.97327,                0.98812,                0.91807,                0.96674,                 0.9316,                 0.9509,                0.73999,                 0.3514,                0.70103,                0.21959,                0.80142,              0.0098152,              0.0098152,              0.0098152
                     58,                 0.6162,                 1.1338,                0.36981,                0.88319,                0.98571,                 0.9717,                0.98705,                0.91747,                0.96332,                0.93843,                0.94928,                0.74155,                0.35317,                0.69046,                0.22208,                0.80138,              0.0098119,              0.0098119,              0.0098119
                     59,                0.61844,                 1.1543,                0.37293,                 0.8897,                0.97831,                0.98045,                 0.9891,                0.91741,                0.95648,                0.93663,                0.94542,                0.73965,                0.35445,                0.71244,                 0.2221,                0.80396,              0.0098086,              0.0098086,              0.0098086
                     60,                0.62266,                 1.1538,                0.37364,                0.89051,                0.98164,                0.97341,                0.98677,                0.90678,                0.95673,                0.93813,                0.94637,                0.73101,                0.37636,                0.76042,                0.23007,                0.80974,              0.0098053,              0.0098053,              0.0098053
                     61,                0.61696,                 1.1287,                0.36956,                0.88978,                0.97944,                0.98076,                0.98916,                0.91903,                0.96191,                0.94532,                0.95443,                 0.7373,                0.34551,                0.71255,                0.21819,                 0.8029,               0.009802,               0.009802,               0.009802
                     62,                0.61791,                 1.1343,                0.36939,                0.88712,                 0.9881,                0.97311,                0.98776,                0.92056,                0.95766,                  0.945,                 0.9513,                0.73928,                0.34252,                 0.7063,                0.22013,                0.80177,              0.0097987,              0.0097987,              0.0097987
                     63,                0.61517,                 1.1395,                0.36992,                0.88563,                0.98758,                0.97193,                0.98766,                0.91675,                0.95451,                0.93692,                0.94659,                 0.7366,                0.35251,                0.71805,                0.22282,                 0.8024,              0.0097954,              0.0097954,              0.0097954
                     64,                 0.6189,                 1.1458,                0.36805,                0.88509,                0.97891,                0.97768,                0.98764,                0.91922,                0.96281,                0.93337,                0.94486,                0.73713,                0.34751,                0.70269,                0.22011,                0.80189,              0.0097921,              0.0097921,              0.0097921
                     65,                0.61304,                  1.126,                 0.3637,                0.88144,                0.98308,                0.97503,                0.98791,                0.92046,                0.96291,                 0.9355,                0.94969,                0.74181,                0.34171,                0.70786,                0.21394,                0.79952,              0.0097888,              0.0097888,              0.0097888
                     66,                0.61224,                 1.1274,                0.36693,                 0.8845,                0.98497,                0.97542,                0.98903,                0.92081,                0.95719,                0.94464,                0.94943,                0.73928,                0.33839,                0.69586,                0.21118,                0.79838,              0.0097855,              0.0097855,              0.0097855
                     67,                0.60535,                 1.1121,                0.36726,                0.88408,                0.98877,                0.97068,                0.98861,                 0.9237,                0.95715,                0.94361,                0.94845,                0.73997,                0.33731,                0.68266,                0.21474,                0.79966,              0.0097822,              0.0097822,              0.0097822
                     68,                 0.6099,                 1.1303,                0.36191,                0.88373,                 0.9843,                0.97318,                0.98912,                 0.9233,                0.96229,                0.93702,                0.94947,                0.74265,                0.33808,                0.68224,                0.21347,                0.79998,              0.0097789,              0.0097789,              0.0097789
                     69,                0.59838,                 1.1063,                0.35758,                0.87768,                0.98569,                0.97891,                0.98967,                0.92264,                0.95833,                0.94569,                0.95232,                0.74584,                0.34237,                0.69154,                 0.2132,                0.79897,              0.0097756,              0.0097756,              0.0097756
                     70,                0.60113,                 1.1117,                0.36347,                0.87867,                0.98456,                0.97761,                0.98944,                0.91928,                0.95296,                 0.9433,                0.94986,                0.74508,                0.34689,                0.71569,                0.21123,                0.80263,              0.0097723,              0.0097723,              0.0097723
                     71,                0.60102,                 1.1087,                 0.3641,                0.87913,                0.98494,                0.96709,                0.98687,                0.89894,                0.95368,                0.92942,                0.94976,                0.71787,                0.41331,                  0.859,                0.23514,                0.81452,               0.009769,               0.009769,               0.009769
                     72,                  0.608,                 1.1268,                0.36565,                0.88137,                0.98803,                0.96965,                0.98692,                0.92281,                0.96389,                0.94031,                0.95162,                0.74451,                0.34057,                0.70522,                0.21138,                0.79889,              0.0097657,              0.0097657,              0.0097657
                     73,                0.59931,                  1.098,                0.35905,                 0.8798,                0.98713,                0.97463,                 0.9885,                0.92169,                0.95853,                0.94212,                0.94907,                0.74179,                0.33861,                0.69555,                0.21053,                0.79865,              0.0097624,              0.0097624,              0.0097624
                     74,                0.60599,                 1.1175,                0.35825,                0.87831,                0.97984,                0.96996,                0.98585,                0.88644,                0.95106,                0.94021,                0.94946,                0.71209,                0.44364,                0.92141,                0.24062,                0.81942,              0.0097591,              0.0097591,              0.0097591
                     75,                0.59473,                 1.0914,                0.35858,                 0.8733,                0.97846,                0.96503,                0.98388,                0.87177,                0.93957,                0.92512,                0.93994,                0.69886,                0.48703,                 1.0123,                0.25522,                0.82857,              0.0097558,              0.0097558,              0.0097558
                     76,                0.60232,                 1.1042,                0.36227,                0.87806,                0.97558,                0.96871,                0.98592,                0.88267,                0.95112,                0.92705,                0.94577,                0.70919,                0.45233,                 0.9511,                0.24501,                0.82214,              0.0097525,              0.0097525,              0.0097525
                     77,                 0.5973,                 1.0864,                0.35833,                0.87276,                0.98529,                0.97104,                0.98769,                0.91311,                0.95388,                0.94348,                0.95152,                 0.7373,                0.37116,                0.75138,                0.21735,                0.80379,              0.0097492,              0.0097492,              0.0097492
                     78,                 0.5874,                  1.073,                0.35818,                0.87165,                0.98463,                0.97895,                0.98937,                 0.9232,                0.96113,                0.94688,                0.95697,                  0.744,                0.33998,                0.70228,                0.20707,                0.79947,              0.0097459,              0.0097459,              0.0097459
                     79,                0.59079,                 1.0939,                0.35539,                0.87385,                0.98237,                0.97299,                0.98564,                0.90854,                0.95867,                0.93626,                0.95436,                0.73178,                0.38153,                0.78185,                 0.2199,                0.80951,              0.0097426,              0.0097426,              0.0097426
                     80,                0.60136,                 1.0972,                0.36117,                0.87844,                0.98227,                0.97343,                 0.9871,                0.91074,                0.95242,                0.93894,                 0.9527,                0.73413,                0.37558,                0.77532,                0.21639,                0.80755,              0.0097393,              0.0097393,              0.0097393
                     81,                0.58919,                 1.0738,                0.35652,                0.87388,                0.98519,                0.96871,                0.98643,                0.90667,                0.95433,                0.93633,                0.95171,                0.73055,                 0.3884,                0.79694,                0.21847,                0.81003,               0.009736,               0.009736,               0.009736
                     82,                0.58723,                 1.0788,                0.35306,                0.87535,                0.98553,                0.96874,                0.98577,                0.89806,                0.95292,                0.93476,                0.94948,                0.72501,                0.41681,                0.85283,                0.22673,                0.81531,              0.0097327,              0.0097327,              0.0097327
                     83,                0.58614,                 1.0586,                0.35166,                0.87246,                0.98702,                0.96988,                0.98601,                 0.9105,                0.95844,                0.93921,                0.95268,                0.73812,                0.37055,                0.75455,                0.21268,                0.80438,              0.0097294,              0.0097294,              0.0097294
                     84,                 0.5883,                 1.0829,                0.35246,                0.87147,                0.98572,                0.97599,                0.98877,                0.92289,                0.96157,                0.93885,                0.95296,                0.74958,                0.33628,                0.70129,                0.20118,                0.79816,              0.0097261,              0.0097261,              0.0097261
                     85,                0.58171,                 1.0621,                0.35002,                0.87207,                0.98937,                0.97286,                0.99046,                0.92286,                0.95712,                0.94182,                0.94997,                0.74871,                0.33077,                0.69705,                0.20158,                0.79725,              0.0097228,              0.0097228,              0.0097228
                     86,                0.58083,                 1.0797,                0.35079,                0.86988,                0.98635,                0.97626,                0.99065,                0.92362,                0.95798,                0.93876,                0.94824,                0.74677,                0.32777,                  0.686,                0.19712,                 0.7962,              0.0097195,              0.0097195,              0.0097195
                     87,                0.57853,                 1.0653,                0.34637,                0.86952,                0.98472,                0.97825,                 0.9907,                0.92247,                0.95812,                0.94212,                0.95174,                0.74852,                0.32829,                 0.6799,                0.19667,                0.79626,              0.0097162,              0.0097162,              0.0097162
                     88,                0.58192,                  1.062,                0.35241,                0.87172,                 0.9862,                0.97752,                0.99076,                0.92385,                0.95796,                0.94228,                0.95075,                0.75053,                0.32818,                0.67733,                0.19742,                0.79595,              0.0097129,              0.0097129,              0.0097129
                     89,                0.57649,                 1.0481,                0.34742,                0.86829,                0.98813,                0.97244,                0.98858,                0.91033,                0.95422,                0.94039,                0.95256,                0.73608,                0.37739,                0.76397,                0.21359,                0.80529,              0.0097096,              0.0097096,              0.0097096
                     90,                0.57413,                  1.056,                0.34757,                0.86817,                0.98854,                0.97301,                0.98831,                 0.9034,                0.95454,                0.93853,                0.95161,                0.73303,                0.40123,                0.80245,                0.21852,                0.81028,              0.0097063,              0.0097063,              0.0097063
                     91,                0.57776,                 1.0623,                0.34686,                0.86917,                0.98855,                0.97343,                0.98873,                0.91129,                0.95514,                0.94134,                 0.9514,                0.73876,                0.37645,                0.75032,                0.21224,                0.80542,               0.009703,               0.009703,               0.009703
                     92,                0.57105,                  1.047,                0.34623,                0.86743,                0.98577,                0.97365,                0.98818,                0.89826,                0.95049,                0.93386,                 0.9463,                0.71812,                0.42716,                 0.8788,                0.22574,                 0.8158,              0.0096997,              0.0096997,              0.0096997
                     93,                 0.5761,                  1.052,                0.34581,                0.86884,                0.98408,                0.97141,                0.98693,                0.90267,                0.95185,                0.93868,                 0.9476,                0.72544,                0.40958,                0.85111,                0.22005,                0.81233,              0.0096964,              0.0096964,              0.0096964
                     94,                0.56955,                 1.0358,                0.34134,                0.86566,                0.98103,                0.97891,                 0.9892,                0.91797,                0.95401,                0.94683,                0.95316,                0.74967,                0.35062,                0.71255,                0.20336,                 0.7996,              0.0096931,              0.0096931,              0.0096931
                     95,                0.56554,                 1.0254,                0.33882,                0.86765,                0.98191,                0.97442,                0.98767,                0.90779,                0.95265,                0.93559,                0.94967,                 0.7361,                0.38598,                0.78512,                0.21128,                 0.8074,              0.0096898,              0.0096898,              0.0096898
                     96,                0.57528,                 1.0602,                0.34299,                0.87008,                0.97643,                0.97719,                0.98728,                0.89957,                0.94132,                  0.932,                0.94711,                0.72943,                0.41155,                0.85115,                0.21804,                 0.8131,              0.0096865,              0.0096865,              0.0096865
                     97,                0.56522,                 1.0364,                0.33931,                0.86699,                0.98528,                0.97571,                0.98929,                0.91295,                0.94962,                0.93965,                0.95026,                0.74057,                0.36851,                0.74864,                0.20509,                0.80369,              0.0096832,              0.0096832,              0.0096832
                     98,                0.56497,                 1.0348,                0.34011,                0.86589,                0.98688,                0.97621,                0.98957,                0.92225,                0.95612,                0.94142,                0.95216,                0.74466,                0.33934,                0.69827,                 0.1958,                0.79746,              0.0096799,              0.0096799,              0.0096799
                     99,                0.56895,                 1.0495,                0.34009,                0.86698,                0.98536,                0.97989,                0.99092,                0.92702,                0.95837,                0.94586,                0.95539,                0.74756,                0.32916,                0.68364,                0.19304,                0.79571,              0.0096766,              0.0096766,              0.0096766
                    100,                0.57134,                  1.043,                0.34673,                0.86569,                0.98466,                0.98028,                0.99089,                0.92749,                0.95581,                0.94537,                 0.9527,                 0.7482,                0.32741,                0.68284,                 0.1917,                 0.7955,              0.0096733,              0.0096733,              0.0096733
                    101,                0.56979,                 1.0334,                0.34284,                0.86502,                0.98654,                0.97733,                0.99024,                0.92781,                0.95879,                0.93966,                0.95132,                0.74818,                 0.3239,                0.68059,                0.19003,                0.79514,                0.00967,                0.00967,                0.00967
                    102,                0.56468,                 1.0329,                0.33665,                0.86302,                0.98627,                0.97897,                0.99097,                0.92818,                0.96168,                0.94159,                0.95172,                0.75125,                0.32314,                0.67886,                0.18936,                0.79482,              0.0096667,              0.0096667,              0.0096667
                    103,                0.57099,                 1.0449,                0.34087,                0.86408,                0.98578,                0.98052,                0.99126,                0.92857,                0.96199,                0.94162,                 0.9524,                0.75173,                0.32268,                0.67603,                0.18711,                 0.7945,              0.0096634,              0.0096634,              0.0096634
                    104,                0.56568,                  1.029,                0.33942,                0.86474,                0.98455,                0.98066,                0.99107,                0.92665,                0.95983,                0.94448,                0.95332,                0.74822,                0.32822,                0.67962,                0.18803,                0.79515,              0.0096601,              0.0096601,              0.0096601
                    105,                0.56519,                  1.034,                0.33535,                 0.8681,                0.98677,                0.97829,                0.99093,                0.92456,                0.95708,                0.94396,                 0.9506,                0.74505,                0.33492,                0.68568,                0.18975,                0.79663,              0.0096568,              0.0096568,              0.0096568
                    106,                0.56392,                 1.0262,                0.33722,                0.86552,                0.98633,                0.97816,                0.99068,                0.92292,                0.95605,                0.94512,                0.95066,                0.74157,                0.34201,                0.69614,                 0.1935,                0.79788,              0.0096535,              0.0096535,              0.0096535
                    107,                0.56043,                 1.0235,                0.33715,                0.86602,                0.98448,                0.97795,                0.98977,                 0.9194,                0.94959,                0.94336,                0.94953,                0.74238,                 0.3526,                0.71341,                0.19602,                0.80034,              0.0096502,              0.0096502,              0.0096502
                    108,                0.55741,                 1.0226,                0.33859,                0.86294,                0.98405,                0.97654,                0.98937,                0.91194,                0.94658,                0.94138,                0.94959,                0.73571,                 0.3758,                0.75909,                0.20288,                0.80522,              0.0096469,              0.0096469,              0.0096469
                    109,                 0.5615,                 1.0184,                0.33549,                0.86247,                0.98548,                 0.9752,                0.98926,                0.91097,                0.94722,                0.94095,                0.94877,                0.73898,                0.37856,                0.76856,                0.20281,                0.80613,              0.0096436,              0.0096436,              0.0096436
                    110,                0.55403,                 1.0169,                 0.3297,                0.85817,                0.98683,                0.97077,                0.98884,                0.90738,                0.95985,                0.92821,                0.94857,                0.73623,                0.38461,                0.78214,                0.20501,                0.80752,              0.0096403,              0.0096403,              0.0096403
