                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3444,                 3.1155,                 5.5871,                 1.1387,                0.04555,                0.06509,                0.04906,                0.04038,                0.04555,                0.06509,                0.04906,                 0.0344,                0.74369,                 1.1832,                 4.3219,                0.83721,              0.0032877,              0.0032877,              0.0032877
                      2,                 1.2906,                 2.5271,                 4.5756,                 1.0644,                0.71223,                0.13248,                0.19053,                0.15632,                0.71223,                0.13248,                0.19097,                 0.1412,                  0.874,                 1.5729,                 2.6612,                0.90246,              0.0066188,              0.0066188,              0.0066188
                      3,                  1.417,                 2.6306,                 4.2074,                 1.1193,                 0.2819,                0.45569,                0.34652,                0.24237,                 0.2819,                0.45569,                0.34662,                 0.2517,                 1.1238,                 1.3117,                 2.4922,                0.96973,              0.0099478,              0.0099478,              0.0099478
                      4,                 1.3761,                 2.4242,                  3.817,                 1.1406,                0.29739,                0.41124,                0.37589,                0.26717,                0.28196,                0.39189,                0.35135,                0.17898,                 1.2419,                 2.8523,                 3.6353,                 1.0607,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.4164,                 2.3716,                 3.6247,                  1.152,                0.51808,                0.62258,                0.67705,                0.47233,                0.51808,                0.62258,                 0.6772,                0.52714,                 1.1392,                0.90729,                 1.9302,                0.98572,              0.0099868,              0.0099868,              0.0099868
                      6,                 1.4365,                 2.3717,                  3.195,                 1.1628,                0.61912,                0.70862,                0.75567,                0.56124,                0.61912,                0.70862,                0.75166,                0.55539,                 1.0051,                 1.0375,                 1.4961,                0.97069,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.3785,                 2.3021,                  3.055,                 1.1748,                0.65982,                0.81921,                0.83618,                0.59729,                0.65982,                0.81921,                 0.8356,                0.61985,                 1.0217,                0.98583,                 1.3686,                0.95003,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.3426,                   2.29,                 2.7253,                 1.1408,                 0.8459,                 0.6783,                0.84798,                0.63503,                 0.8459,                 0.6783,                0.84262,                 0.6406,                0.88866,                0.84165,                 1.3688,                0.93702,              0.0099769,              0.0099769,              0.0099769
                      9,                 1.3143,                 2.2009,                 2.5359,                 1.1324,                0.76177,                0.89708,                  0.894,                0.67243,                0.76177,                0.89708,                0.89283,                0.66284,                0.87582,                0.80575,                 1.0546,                0.93302,              0.0099736,              0.0099736,              0.0099736
                     10,                 1.2964,                 2.1819,                 2.3162,                 1.1337,                0.75192,                0.92927,                0.89822,                0.70555,                0.75192,                0.92927,                0.89566,                0.64719,                0.77629,                0.92466,                0.95564,                0.90186,              0.0099703,              0.0099703,              0.0099703
                     11,                 1.2836,                 2.1418,                 2.1524,                 1.1276,                0.83552,                0.82034,                0.91634,                0.73134,                0.83552,                0.82034,                 0.9128,                0.67492,                0.77249,                 1.0129,                0.95048,                0.90701,               0.009967,               0.009967,               0.009967
                     12,                 1.2735,                 2.1629,                 2.0586,                 1.1352,                0.84516,                0.86548,                0.92168,                0.70619,                0.84516,                0.86548,                0.92083,                0.68285,                0.81402,                 1.0227,                 1.0213,                0.91377,              0.0099637,              0.0099637,              0.0099637
                     13,                 1.2608,                 2.1312,                  1.921,                 1.1135,                0.75284,                0.91332,                0.92475,                0.73074,                0.75284,                0.91332,                0.92423,                0.69873,                 0.7798,                0.80477,                 0.9443,                0.90683,              0.0099604,              0.0099604,              0.0099604
                     14,                 1.2583,                 2.1004,                 1.8624,                 1.1195,                0.84086,                0.92736,                0.94016,                0.76878,                 0.8304,                 0.9166,                0.92809,                0.69554,                0.72468,                0.86669,                0.89547,                0.90605,              0.0099571,              0.0099571,              0.0099571
                     15,                 1.2426,                 2.0661,                 1.7532,                 1.1053,                0.87135,                0.88674,                0.95154,                0.72785,                0.87135,                0.88674,                0.95128,                0.68811,                0.80488,                 1.0676,                 0.8925,                0.92572,              0.0099538,              0.0099538,              0.0099538
                     16,                 1.1862,                 1.9655,                 1.6673,                 1.1022,                0.82054,                 0.9406,                0.96974,                0.79598,                0.82054,                 0.9406,                0.96361,                0.70446,                0.73175,                 0.7326,                0.84028,                0.89651,              0.0099505,              0.0099505,              0.0099505
                     17,                 1.2016,                 2.0431,                 1.6075,                 1.0935,                0.79667,                0.92989,                0.92974,                0.71821,                0.80135,                 0.9382,                0.92696,                 0.6855,                0.83222,                 1.2697,                0.85088,                0.93792,              0.0099472,              0.0099472,              0.0099472
                     18,                 1.1734,                   2.01,                 1.5381,                  1.081,                0.91219,                0.92596,                0.95197,                0.78433,                0.91219,                0.92596,                0.95106,                0.70561,                0.70083,                0.84514,                0.82642,                0.88824,              0.0099439,              0.0099439,              0.0099439
                     19,                 1.1742,                 2.0049,                 1.4662,                 1.0786,                0.89602,                0.92457,                0.94761,                0.77946,                0.89699,                0.91282,                0.93475,                0.65428,                0.69611,                0.77147,                0.73679,                0.88748,              0.0099406,              0.0099406,              0.0099406
                     20,                 1.1478,                 1.9892,                 1.4564,                 1.0763,                0.88081,                0.92878,                  0.942,                0.78081,                0.86293,                0.91069,                0.91718,                0.70526,                0.69339,                 0.7768,                0.74621,                0.88957,              0.0099373,              0.0099373,              0.0099373
                     21,                 1.1577,                 1.9657,                 1.4181,                 1.0768,                0.84393,                0.96755,                0.94959,                0.77473,                0.84217,                0.96524,                0.94175,                0.68326,                0.71503,                0.67651,                0.82349,                 0.9015,               0.009934,               0.009934,               0.009934
                     22,                 1.1463,                 1.9607,                 1.3791,                 1.0666,                0.88085,                 0.9546,                0.95241,                0.75872,                0.87925,                0.95025,                0.94704,                0.68975,                0.71738,                0.74976,                0.74539,                0.87766,              0.0099307,              0.0099307,              0.0099307
                     23,                 1.1103,                 1.8774,                 1.3446,                 1.0521,                0.88226,                0.93724,                0.96824,                0.77245,                0.88318,                0.93586,                0.96421,                0.67865,                0.72124,                0.72579,                0.68491,                0.89072,              0.0099274,              0.0099274,              0.0099274
                     24,                 1.1251,                 1.9499,                 1.3002,                 1.0617,                0.89754,                0.93683,                0.94974,                0.78961,                0.89752,                 0.9331,                0.94338,                0.70815,                0.65154,                 0.7781,                0.71922,                0.87556,              0.0099241,              0.0099241,              0.0099241
