                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.98164,                 2.4806,                 4.8355,                 1.1392,                0.68752,                0.53328,                0.62516,                0.54974,                0.68752,                0.53328,                0.62516,                0.45263,                0.65612,                 1.3155,                 1.6078,                0.87726,              0.0033125,              0.0033125,              0.0033125
                      2,                0.87758,                 1.8367,                 2.0893,                 1.0562,                 0.8006,                0.76167,                0.79932,                0.65263,                0.79076,                0.75141,                0.78081,                0.55623,                0.74917,                 0.9957,                 1.1561,                0.89463,              0.0066436,              0.0066436,              0.0066436
                      3,                0.95375,                 1.8247,                 1.7716,                 1.0874,                0.69686,                0.83702,                0.84535,                0.64983,                0.69209,                0.82627,                0.83026,                0.54997,                0.83971,                 1.2591,                 1.0688,                 0.9284,              0.0099726,              0.0099726,              0.0099726
                      4,                 1.0137,                 1.8141,                 1.6262,                 1.1281,                0.84299,                0.80445,                0.87452,                0.66834,                0.83459,                0.79673,                0.85626,                0.57213,                0.95646,                  1.103,                 1.0901,                0.95164,              0.0099901,              0.0099901,              0.0099901
                      5,                0.99156,                 1.7616,                 1.4578,                 1.1078,                0.80684,                0.84256,                0.88901,                0.69668,                0.79002,                0.82535,                0.86496,                0.61198,                0.89629,                 1.0954,                0.99468,                0.94682,              0.0099868,              0.0099868,              0.0099868
                      6,                0.96609,                 1.6755,                 1.3211,                 1.1004,                0.88488,                0.88422,                0.94705,                0.74156,                0.86914,                0.86744,                0.93228,                0.63461,                0.85214,                 1.0802,                0.76455,                 0.9264,              0.0099835,              0.0099835,              0.0099835
                      7,                0.93443,                 1.6457,                 1.2328,                 1.0833,                0.86748,                0.91643,                0.94895,                0.74167,                0.85344,                0.90227,                0.92684,                 0.6483,                0.82622,                0.94738,                0.79248,                0.90775,              0.0099802,              0.0099802,              0.0099802
                      8,                0.92854,                  1.662,                  1.183,                 1.0839,                0.89868,                0.94555,                0.96176,                0.75265,                0.90155,                0.93044,                 0.9583,                0.67357,                0.81355,                0.85125,                0.73824,                0.91607,              0.0099769,              0.0099769,              0.0099769
                      9,                0.92436,                 1.6575,                 1.1762,                 1.0817,                0.88273,                0.94396,                0.95633,                  0.767,                0.88273,                0.94396,                0.95633,                0.70188,                0.80831,                0.99412,                0.72335,                0.90576,              0.0099736,              0.0099736,              0.0099736
                     10,                0.91254,                 1.6109,                 1.1052,                  1.071,                0.86081,                0.91136,                0.94791,                0.75445,                 0.8515,                0.89111,                0.92042,                0.63357,                0.80058,                0.92784,                0.69262,                0.91969,              0.0099703,              0.0099703,              0.0099703
                     11,                0.85959,                  1.572,                 1.0527,                  1.058,                0.91854,                0.93417,                0.96077,                0.75336,                0.89321,                0.90636,                0.93515,                0.69859,                0.80674,                0.85007,                0.67588,                0.91739,               0.009967,               0.009967,               0.009967
                     12,                 0.8415,                 1.5263,                0.99485,                 1.0458,                0.89093,                0.95186,                  0.972,                0.81311,                0.88155,                0.93037,                0.94605,                0.69193,                0.67813,                0.79705,                 0.6335,                0.88685,              0.0099637,              0.0099637,              0.0099637
                     13,                0.86112,                 1.6134,                0.99406,                 1.0498,                0.86991,                0.95565,                0.95423,                0.78636,                0.86321,                0.94872,                 0.9382,                0.69852,                0.72341,                0.97497,                0.63231,                0.89126,              0.0099604,              0.0099604,              0.0099604
                     14,                0.82846,                 1.4959,                0.96942,                 1.0399,                0.87441,                0.96359,                0.95523,                0.78357,                0.86824,                0.95284,                0.93785,                 0.7102,                0.69858,                0.82864,                0.58431,                0.88017,              0.0099571,              0.0099571,              0.0099571
                     15,                0.81561,                 1.4749,                0.93435,                 1.0355,                0.91211,                0.97199,                0.96322,                0.78734,                0.91102,                0.93681,                0.94901,                0.69887,                0.70708,                0.75133,                0.58395,                0.88927,              0.0099538,              0.0099538,              0.0099538
