                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1855,                 2.4175,                  3.693,                 1.0654,                0.91121,                0.85335,                0.92327,                0.76241,                 0.9046,                0.84698,                0.90113,                0.64312,                 0.6597,                 1.2099,                0.69584,                0.87813,               0.003327,               0.003327,               0.003327
                      2,                 1.0957,                 2.0271,                 1.0639,                 1.0088,                0.92971,                0.86025,                 0.9209,                0.74071,                 0.9077,                 0.8408,                0.89341,                0.63705,                0.75467,                 1.2149,                0.70748,                0.90468,              0.0066582,              0.0066582,              0.0066582
                      3,                 1.1483,                 2.0507,                 1.0027,                 1.0312,                0.92554,                0.84084,                0.91836,                 0.7223,                0.88779,                 0.8155,                0.86675,                0.58797,                 0.7894,                 1.2039,                0.78409,                0.91889,              0.0099871,              0.0099871,              0.0099871
                      4,                 1.1624,                 2.0471,                0.97891,                 1.0478,                0.95158,                0.86252,                0.92498,                 0.7228,                0.92869,                0.83838,                 0.8888,                0.58195,                0.80486,                 1.2494,                0.69893,                0.92236,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.1066,                 1.9396,                0.87254,                 1.0278,                0.92924,                0.91323,                0.94623,                0.75766,                0.90255,                 0.8912,                0.91568,                  0.653,                0.71903,                 1.1222,                0.64342,                 0.9044,              0.0099868,              0.0099868,              0.0099868
                      6,                  1.053,                 1.8698,                0.78478,                  1.007,                0.95246,                0.92815,                 0.9565,                0.79406,                0.92344,                0.89149,                0.90931,                0.64249,                0.64745,                 1.0685,                0.52754,                 0.8761,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.0028,                 1.7988,                0.73536,                0.98738,                0.96167,                0.92832,                0.95661,                0.77983,                0.94933,                0.90777,                0.93206,                0.66557,                0.67668,                  1.214,                 0.5126,                0.88416,              0.0099802,              0.0099802,              0.0099802
                      8,                0.97937,                 1.7504,                0.70674,                0.97982,                0.97232,                0.92836,                0.96332,                0.80341,                 0.9487,                0.90257,                0.92368,                0.65389,                0.64215,                  1.038,                0.49017,                 0.8754,              0.0099769,              0.0099769,              0.0099769
                      9,                0.95095,                 1.7158,                0.68038,                0.96986,                0.97376,                0.93251,                0.96252,                0.81955,                0.95072,                0.91246,                0.93406,                0.67452,                0.58357,                0.99889,                0.45863,                 0.8499,              0.0099736,              0.0099736,              0.0099736
                     10,                 0.9407,                 1.6586,                0.65261,                0.96494,                 0.9753,                0.94804,                0.97083,                0.83067,                0.95942,                0.91122,                0.93229,                0.68727,                0.56286,                0.91898,                0.43757,                0.85035,              0.0099703,              0.0099703,              0.0099703
                     11,                0.91096,                 1.6629,                0.63398,                0.95225,                0.97819,                0.93968,                0.96581,                0.82668,                0.94435,                0.90798,                  0.926,                0.67382,                0.55864,                0.95224,                 0.4217,                0.84601,               0.009967,               0.009967,               0.009967
                     12,                0.90173,                 1.6344,                 0.6225,                 0.9556,                0.97199,                0.93597,                0.96804,                0.82344,                0.94868,                0.90674,                0.92738,                0.67897,                0.57479,                 1.0365,                0.42517,                0.84665,              0.0099637,              0.0099637,              0.0099637
                     13,                0.88298,                  1.628,                0.60216,                0.94413,                0.98031,                0.94152,                0.97594,                0.83606,                0.94537,                0.91245,                0.92685,                0.69083,                0.54519,                0.89897,                0.40757,                0.84252,              0.0099604,              0.0099604,              0.0099604
                     14,                0.88263,                 1.6014,                0.60219,                0.94149,                0.98117,                0.95364,                0.97146,                0.84682,                0.96892,                0.93116,                 0.9487,                0.68978,                0.52342,                0.89796,                 0.3974,                0.83603,              0.0099571,              0.0099571,              0.0099571
                     15,                0.86471,                 1.5725,                0.57745,                0.94033,                0.98053,                0.94123,                0.96911,                0.84498,                0.94579,                0.91115,                0.92652,                0.67815,                0.51593,                 0.9386,                 0.4011,                0.83036,              0.0099538,              0.0099538,              0.0099538
                     16,                  0.841,                 1.5324,                0.56963,                0.92733,                0.97762,                 0.9524,                0.97449,                0.84266,                0.94842,                0.92124,                0.93455,                0.69445,                0.52853,                0.90924,                 0.3869,                 0.8326,              0.0099505,              0.0099505,              0.0099505
                     17,                0.84054,                 1.5668,                0.56428,                 0.9348,                0.97114,                0.95308,                0.97697,                 0.8539,                0.95299,                0.91164,                0.93201,                0.68017,                0.49535,                0.87102,                0.37565,                0.82654,              0.0099472,              0.0099472,              0.0099472
                     18,                0.83757,                 1.5311,                0.55492,                0.92476,                0.96974,                0.95891,                0.97442,                0.85764,                0.94923,                0.92244,                0.93485,                0.69803,                0.49102,                0.81878,                0.37595,                 0.8257,              0.0099439,              0.0099439,              0.0099439
                     19,                0.82003,                 1.5068,                0.54771,                0.91926,                0.97936,                0.94975,                0.97701,                0.86352,                0.94463,                0.91295,                0.92844,                0.70011,                0.48613,                0.86253,                0.35354,                0.82595,              0.0099406,              0.0099406,              0.0099406
                     20,                0.81989,                 1.4965,                0.54358,                0.92221,                 0.9868,                0.94747,                0.97567,                0.86805,                0.95799,                0.92004,                0.93851,                0.70557,                0.47767,                0.82833,                0.35525,                0.82069,              0.0099373,              0.0099373,              0.0099373
                     21,                 0.7983,                  1.473,                0.53092,                0.91385,                0.97805,                 0.9617,                0.97836,                0.86055,                0.94971,                0.91709,                0.92734,                0.69814,                0.47375,                0.84101,                0.34953,                0.82051,               0.009934,               0.009934,               0.009934
                     22,                0.80437,                 1.4658,                0.52272,                0.91328,                0.97527,                 0.9651,                0.97864,                0.87267,                0.96503,                0.92341,                 0.9474,                0.71204,                 0.4598,                0.80971,                0.33927,                0.81778,              0.0099307,              0.0099307,              0.0099307
                     23,                0.79287,                 1.4635,                0.51784,                0.90908,                 0.9854,                0.95018,                0.97648,                0.86924,                0.95982,                0.92079,                0.93795,                0.70947,                0.46679,                0.85555,                0.34752,                0.81657,              0.0099274,              0.0099274,              0.0099274
                     24,                0.78685,                  1.463,                 0.5157,                0.90593,                 0.9838,                0.95576,                0.97857,                0.87289,                0.95179,                0.92145,                 0.9361,                0.71149,                0.46061,                0.81661,                 0.3417,                0.81677,              0.0099241,              0.0099241,              0.0099241
                     25,                0.78094,                 1.4263,                0.51181,                0.90566,                0.98242,                0.96351,                0.97766,                0.87315,                0.95109,                0.92416,                0.93138,                0.71128,                0.45209,                0.83485,                0.32837,                0.81461,              0.0099208,              0.0099208,              0.0099208
                     26,                0.77524,                 1.4255,                0.50584,                0.90468,                0.98457,                0.95761,                0.97934,                 0.8766,                0.95997,                0.91632,                0.93336,                0.69774,                0.44796,                0.82623,                0.32584,                0.81191,              0.0099175,              0.0099175,              0.0099175
                     27,                0.76407,                  1.406,                0.49742,                0.90175,                0.97396,                0.95231,                0.97406,                0.84298,                0.96233,                0.92247,                0.94006,                  0.685,                0.54195,                 1.0353,                0.35322,                0.83229,              0.0099142,              0.0099142,              0.0099142
                     28,                0.76788,                 1.4072,                0.49532,                0.89937,                0.98214,                0.96068,                0.98127,                0.87057,                0.95297,                0.92487,                0.93907,                0.69639,                0.48374,                0.88441,                0.33169,                0.81933,              0.0099109,              0.0099109,              0.0099109
                     29,                0.75465,                  1.404,                0.48574,                0.89497,                0.97655,                0.96768,                0.98011,                0.88244,                0.96626,                  0.931,                0.94884,                0.71639,                0.43455,                0.84644,                0.31768,                0.80564,              0.0099076,              0.0099076,              0.0099076
                     30,                0.74619,                 1.3756,                0.48387,                0.89635,                0.97797,                0.95934,                0.98102,                0.88423,                0.96439,                0.92114,                0.94244,                0.72236,                0.43661,                0.76334,                0.31474,                0.81175,              0.0099043,              0.0099043,              0.0099043
                     31,                0.74828,                 1.3924,                0.48182,                0.89385,                0.97792,                0.95974,                0.97971,                0.85886,                0.96452,                0.92548,                 0.9454,                0.70287,                0.50841,                0.96701,                0.32992,                0.82214,               0.009901,               0.009901,               0.009901
                     32,                0.74678,                 1.3734,                0.47986,                0.89412,                0.97488,                0.96277,                0.97955,                0.85972,                0.95314,                0.91284,                0.93041,                0.67334,                0.51195,                 1.0118,                0.32063,                0.82288,              0.0098977,              0.0098977,              0.0098977
                     33,                0.74309,                 1.3659,                0.47487,                0.89299,                0.98853,                0.95548,                0.98003,                0.88734,                 0.9611,                0.92471,                0.94155,                 0.7164,                0.41872,                0.80481,                0.29964,                0.80659,              0.0098944,              0.0098944,              0.0098944
                     34,                0.73678,                 1.3561,                0.46955,                0.88777,                0.98157,                0.96381,                0.98437,                0.88522,                0.95393,                 0.9392,                0.94973,                0.71822,                0.42451,                0.81087,                0.30075,                0.80467,              0.0098911,              0.0098911,              0.0098911
                     35,                0.73358,                 1.3373,                0.47081,                0.88896,                0.98385,                0.96257,                0.98402,                0.89234,                0.95591,                0.93372,                0.94194,                0.71122,                0.41978,                0.80712,                0.29288,                0.80515,              0.0098878,              0.0098878,              0.0098878
                     36,                0.73268,                 1.3696,                0.47302,                0.88823,                0.98372,                0.97047,                0.98164,                0.89045,                0.95687,                 0.9288,                  0.937,                0.72002,                0.41025,                0.78524,                0.29603,                0.80237,              0.0098845,              0.0098845,              0.0098845
