                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2665,                 2.9727,                 6.7696,                 1.2248,                0.43164,                0.44805,                0.41461,                 0.3549,                0.42877,                 0.4383,                0.40946,                 0.2895,                0.67269,                 1.5354,                 2.1418,                0.91482,              0.0032911,              0.0032911,              0.0032911
                      2,                 1.1329,                 2.4119,                 2.8319,                 1.1015,                0.67668,                0.62406,                0.77871,                0.63151,                0.67668,                0.62406,                 0.7774,                0.52935,                0.74721,                 1.0181,                 1.4389,                0.88567,              0.0066223,              0.0066223,              0.0066223
                      3,                 1.2006,                 2.3397,                 2.3997,                 1.1314,                0.66516,                0.78449,                0.81785,                0.64538,                0.66516,                0.78449,                0.80987,                0.59555,                0.81776,                0.90865,                 1.4385,                0.91961,              0.0099512,              0.0099512,              0.0099512
                      4,                 1.2438,                 2.3179,                  1.982,                 1.1577,                0.79218,                0.73848,                0.81326,                0.62144,                0.79218,                0.73848,                0.81326,                0.59443,                0.90659,                 1.0487,                 1.4829,                0.94011,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.2717,                 2.1921,                 1.8306,                 1.1804,                0.72483,                0.84195,                0.89395,                 0.6534,                0.71477,                0.82582,                 0.8698,                0.51071,                0.90603,                 1.6459,                 2.4129,                0.96989,              0.0099868,              0.0099868,              0.0099868
                      6,                 1.2746,                 2.2896,                 1.6248,                 1.1682,                0.73926,                 0.8889,                0.91353,                0.70548,                0.72679,                0.87169,                0.89833,                0.62061,                0.89941,                0.98455,                 1.0347,                 0.9504,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.2415,                 2.0908,                 1.6082,                 1.1704,                0.87081,                0.88321,                0.95389,                0.74143,                0.87081,                0.88321,                0.95389,                0.71174,                0.80688,                0.78276,                0.79132,                0.90975,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.2137,                  2.039,                 1.4003,                 1.1512,                0.84018,                0.91939,                0.95067,                0.77068,                0.84045,                0.91764,                0.94264,                0.65868,                0.73579,                0.88399,                 1.0264,                0.90006,              0.0099769,              0.0099769,              0.0099769
                      9,                  1.196,                 1.9792,                 1.3403,                 1.1489,                0.82647,                 0.9565,                0.96656,                0.74632,                0.82327,                0.95081,                0.95974,                0.71311,                0.84423,                0.90266,                 0.7683,                0.92138,              0.0099736,              0.0099736,              0.0099736
                     10,                  1.177,                 2.0556,                 1.3142,                 1.1336,                0.88408,                0.94914,                0.95066,                0.75719,                0.88721,                0.92892,                 0.9434,                 0.7159,                0.78859,                0.71446,                0.75074,                0.90852,              0.0099703,              0.0099703,              0.0099703
