                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3953,                 3.1557,                 7.0572,                 1.2436,                0.40841,                 0.5117,                0.47601,                0.38866,                0.40841,                 0.5117,                0.47606,                0.35319,                0.71765,                 1.4282,                 1.8867,                0.93598,              0.0032877,              0.0032877,              0.0032877
                      2,                 1.1884,                 2.4357,                 2.8653,                 1.1117,                0.72096,                0.69337,                0.80969,                0.67781,                0.70197,                0.67504,                0.79086,                0.54639,                0.65227,                0.90695,                 1.3989,                0.88514,              0.0066188,              0.0066188,              0.0066188
                      3,                 1.2874,                 2.4143,                 2.2766,                 1.1604,                0.68463,                0.75782,                0.77127,                0.59369,                0.68463,                0.75782,                0.77008,                 0.5011,                0.83236,                 1.4503,                 1.6439,                0.94827,              0.0099478,              0.0099478,              0.0099478
                      4,                 1.2485,                 2.2691,                 1.9974,                 1.1438,                 0.7936,                0.65886,                0.78687,                 0.6056,                 0.7966,                0.67914,                0.80265,                0.53027,                0.99908,                 1.7663,                 2.4377,                   1.07,              0.0099901,              0.0099901,              0.0099901
                      5,                 1.3304,                 2.2929,                 1.7898,                 1.1872,                0.69526,                0.91436,                0.91328,                0.66993,                0.69526,                0.91436,                0.91328,                0.63037,                0.90918,                 1.0786,                 1.2831,                0.96045,              0.0099868,              0.0099868,              0.0099868
                      6,                 1.3357,                 2.3314,                 1.6465,                 1.1835,                0.88197,                0.83969,                0.91992,                0.69723,                 0.8758,                0.83395,                0.88065,                0.63198,                 0.8768,                 1.0754,                0.97683,                0.97066,              0.0099835,              0.0099835,              0.0099835
                      7,                 1.2909,                 2.1958,                 1.5335,                 1.1964,                0.83815,                0.81067,                0.89055,                0.68637,                0.83815,                0.81067,                0.88954,                 0.6247,                0.84593,                0.83687,                 1.0872,                0.96157,              0.0099802,              0.0099802,              0.0099802
                      8,                 1.2814,                 2.1814,                 1.4409,                 1.1721,                0.87917,                0.93851,                0.95241,                0.75921,                0.87917,                0.93851,                0.95123,                0.72723,                0.84224,                0.74695,                0.91038,                0.95446,              0.0099769,              0.0099769,              0.0099769
                      9,                 1.2745,                 2.1293,                 1.3751,                  1.175,                0.88584,                0.90317,                0.95823,                0.77134,                0.88584,                0.90317,                0.95611,                0.71558,                0.76343,                0.75473,                0.77217,                0.96143,              0.0099736,              0.0099736,              0.0099736
                     10,                 1.2294,                 2.0595,                 1.3315,                 1.1746,                  0.872,                0.88732,                0.92684,                0.72884,                  0.872,                0.88732,                 0.9272,                0.67513,                0.83547,                0.80189,                0.88583,                  0.969,              0.0099703,              0.0099703,              0.0099703
                     11,                 1.2251,                 2.0735,                 1.2642,                 1.1696,                0.84197,                0.91578,                0.96848,                0.78496,                0.84197,                0.91578,                0.96848,                0.72625,                0.74196,                0.83855,                0.80981,                0.93882,               0.009967,               0.009967,               0.009967
                     12,                 1.2344,                 2.0811,                 1.2569,                 1.1786,                0.85128,                0.95002,                0.95819,                0.78879,                0.85715,                0.91486,                0.94411,                0.67939,                 0.7198,                0.98118,                 0.8924,                0.96078,              0.0099637,              0.0099637,              0.0099637
                     13,                 1.1979,                 1.9694,                 1.1854,                 1.1448,                0.91916,                0.87894,                0.95938,                 0.7788,                0.90946,                0.86447,                0.94959,                0.67632,                0.73874,                0.80529,                0.78398,                0.94811,              0.0099604,              0.0099604,              0.0099604
