                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2373,                 3.0152,                 5.5881,                  1.148,                0.02258,                0.02688,                0.02708,                0.02276,                0.02258,                0.02688,                0.02708,                0.02638,                0.63169,                 1.3556,                 4.4356,                0.82314,             9.3867e-05,             9.3867e-05,             9.3867e-05
                      2,                 1.1835,                 2.3794,                  4.617,                 1.0464,                0.89347,                0.08221,                0.19502,                0.16254,                0.89347,                0.08221,                0.19502,                0.15186,                0.78592,                 1.2387,                 3.1532,                0.86298,             0.00018858,             0.00018858,             0.00018858
                      3,                 1.1763,                 2.2064,                 4.1864,                  1.059,                0.65094,                0.31307,                0.39882,                0.33041,                0.65094,                0.31307,                 0.3999,                 0.3086,                0.84006,                 1.0789,                 2.4072,                0.87178,             0.00028266,             0.00028266,             0.00028266
                      4,                 1.1627,                  2.054,                 3.7843,                 1.0537,                0.79901,                0.40341,                0.63115,                 0.5196,                0.79901,                0.40341,                0.63052,                0.47586,                0.83298,                0.97938,                 1.9691,                0.90495,             0.00028317,             0.00028317,             0.00028317
                      5,                 1.1255,                 1.9823,                 3.4208,                  1.054,                 0.6968,                0.55744,                0.70967,                0.57661,                0.46132,                0.70807,                0.71052,                0.53546,                0.79585,                0.95941,                 1.5922,                0.87004,             0.00028222,             0.00028222,             0.00028222
                      6,                  1.089,                 1.9086,                 3.2024,                 1.0496,                 0.6968,                0.72363,                0.81409,                0.68402,                 0.6968,                0.72363,                0.81329,                 0.6109,                 0.7453,                0.92151,                  1.333,                 0.8697,             0.00028128,             0.00028128,             0.00028128
                      7,                 1.0846,                 1.9293,                 2.8824,                 1.0279,                0.66729,                0.83301,                0.84045,                0.69839,                0.66729,                0.83301,                0.83959,                0.65173,                0.74868,                0.79443,                 1.1948,                 0.8546,             0.00028034,             0.00028034,             0.00028034
                      8,                 1.0922,                 1.8523,                  2.711,                 1.0379,                0.73383,                0.83667,                 0.8525,                 0.7347,                0.73383,                0.83667,                0.85011,                0.65582,                0.64755,                0.77198,                  1.116,                0.84992,             0.00027939,             0.00027939,             0.00027939
                      9,                   1.05,                 1.7733,                 2.5212,                   1.03,                0.80185,                0.88027,                0.88319,                0.75033,                0.80185,                0.88027,                0.88319,                0.65714,                0.66983,                0.89004,                0.96458,                0.85352,             0.00027845,             0.00027845,             0.00027845
                     10,                 1.0406,                 1.8362,                 2.3975,                 1.0233,                0.84401,                0.83489,                0.89116,                0.75223,                0.84401,                0.83489,                0.89116,                0.67575,                0.69767,                0.75111,                0.95337,                0.86937,             0.00027751,             0.00027751,             0.00027751
                     11,                0.98048,                 1.7024,                 2.2038,                 0.9972,                0.75814,                0.92382,                0.89597,                0.76452,                0.75814,                0.92382,                0.89149,                0.68453,                0.63417,                 0.7266,                0.89272,                0.84491,             0.00027656,             0.00027656,             0.00027656
                     12,                0.98706,                 1.7284,                  2.134,                 1.0027,                0.82768,                0.89565,                0.92242,                0.78121,                0.81481,                0.87953,                 0.9043,                0.69008,                0.63723,                0.72071,                0.80691,                0.83854,             0.00027562,             0.00027562,             0.00027562
                     13,                 0.9791,                 1.7069,                 2.1052,                0.97961,                0.80925,                0.90354,                0.93435,                0.78876,                0.81302,                0.89895,                0.92423,                0.71042,                0.66301,                0.68063,                0.86958,                0.84172,             0.00027467,             0.00027467,             0.00027467
                     14,                  0.971,                 1.6946,                 2.0271,                 1.0069,                0.82153,                0.89962,                0.94078,                0.80287,                0.81738,                0.89307,                0.93027,                 0.7049,                0.64179,                0.71228,                0.85681,                0.83996,             0.00027373,             0.00027373,             0.00027373
                     15,                0.92753,                 1.6073,                 1.9259,                0.98236,                0.87852,                0.92855,                0.95617,                0.83433,                0.87852,                0.92855,                0.94834,                0.72237,                0.61936,                0.68049,                0.79653,                0.83706,             0.00027279,             0.00027279,             0.00027279
                     16,                0.92206,                  1.522,                 1.8443,                0.98687,                0.84362,                0.90349,                0.95882,                0.81528,                0.84362,                0.90349,                0.94833,                0.74679,                0.63518,                0.71614,                0.75014,                 0.8395,             0.00027184,             0.00027184,             0.00027184
                     17,                0.90815,                 1.5278,                 1.8459,                0.97522,                0.89709,                 0.9048,                0.96635,                0.85574,                0.89458,                0.89943,                0.95723,                  0.722,                0.57819,                0.72527,                0.74634,                0.82898,              0.0002709,              0.0002709,              0.0002709
                     18,                0.88596,                 1.4849,                 1.7042,                0.96635,                0.86849,                0.92903,                0.96706,                 0.8384,                0.86323,                0.92376,                0.95752,                0.76553,                0.61885,                0.68601,                0.71331,                0.83763,             0.00026996,             0.00026996,             0.00026996
                     19,                0.86856,                   1.47,                 1.6892,                0.96314,                0.88477,                 0.8852,                0.94058,                0.81866,                0.88477,                 0.8852,                0.93132,                 0.7358,                0.58256,                0.59636,                0.70824,                0.82686,             0.00026901,             0.00026901,             0.00026901
                     20,                0.87807,                 1.4942,                 1.6568,                0.97114,                0.88135,                 0.9077,                0.95235,                0.83474,                0.88259,                0.90318,                0.94285,                0.76599,                0.58657,                0.62321,                 0.7254,                0.82838,             0.00026807,             0.00026807,             0.00026807
